GEOid2,Male25+,MaleAssociateDegree,MaleBachelorDegree,MaleMasterDegree,MaleProfessionalDegree,MaleDoctorateDegree,Female25+,FemaleAssociateDegree,FemaleBachelorDegree,FemaleMasterDegree,FemaleProfessionalDegree,FemaleDoctorateDegree
42003010300,123,16,15,21,10,0,655,10,0,82,0,0
42003020100,2715,88,239,265,136,28,1081,62,237,155,103,15
42003020300,219,14,84,37,13,0,229,0,80,44,22,8
42003030500,383,17,49,48,0,13,1005,22,85,45,32,28
42003040200,425,11,87,18,31,30,571,8,86,102,0,10
42003040400,514,0,87,202,73,25,549,27,205,75,0,25
42003040500,293,0,63,36,0,18,284,0,58,30,20,32
42003040600,362,0,37,23,0,55,218,19,29,22,0,0
42003040900,627,68,158,58,9,0,726,56,114,57,0,0
42003050100,484,36,27,7,0,0,671,22,70,33,0,0
42003050600,542,43,29,11,30,21,879,103,175,137,15,8
42003050900,248,0,0,64,0,0,460,78,51,51,21,0
42003051000,175,6,20,0,16,0,549,22,21,17,21,0
42003051100,184,0,0,0,0,0,328,12,0,17,0,0
42003060300,856,28,170,78,21,21,897,90,97,74,23,0
42003060500,537,48,156,11,0,0,629,111,84,13,0,11
42003070300,838,16,338,120,97,123,812,36,340,167,35,74
42003070500,1212,27,472,200,249,72,951,22,369,293,97,67
42003070600,775,34,220,241,112,97,663,31,284,132,42,97
42003070800,775,14,222,105,153,96,718,26,249,152,84,54
42003070900,1625,72,395,336,336,285,1517,105,390,435,104,153
42003080200,636,36,103,60,0,23,790,48,118,54,0,11
42003080400,530,29,125,73,0,50,482,33,83,35,0,48
42003080600,758,40,268,125,20,14,897,18,183,291,11,41
42003080700,562,23,144,131,16,62,496,54,173,91,0,32
42003080900,659,77,237,10,3,15,630,109,164,76,0,0
42003090100,640,13,101,0,0,13,649,27,45,18,0,0
42003090200,902,31,202,39,8,26,1293,129,314,61,88,5
42003090300,405,33,69,6,0,0,723,95,61,10,0,0
42003100500,613,48,114,58,18,0,893,68,121,165,9,0
42003101100,898,28,123,27,0,0,823,52,100,21,23,0
42003101400,1134,73,253,76,37,9,1524,141,272,162,68,35
42003101600,192,33,0,0,9,20,295,47,55,0,0,0
42003101700,456,0,19,26,11,0,614,74,39,43,9,0
42003101800,968,60,265,128,7,0,1202,38,247,140,37,7
42003110200,1327,131,381,200,91,58,1457,146,430,371,17,51
42003110600,802,20,194,157,83,128,1023,81,248,246,96,33
42003111300,846,84,78,48,0,19,1031,120,169,74,0,0
42003111400,366,59,26,0,0,0,457,1,49,18,0,0
42003111500,913,32,84,77,105,40,1297,70,323,139,48,0
42003120300,452,40,69,0,0,0,724,85,93,32,0,16
42003120400,212,7,10,3,0,0,337,44,0,5,0,0
42003120700,255,0,0,0,0,0,391,77,40,0,0,8
42003120800,266,10,9,15,0,0,339,47,38,0,0,0
42003130100,440,18,18,0,0,0,804,43,91,13,0,0
42003130200,315,23,68,0,16,0,414,36,33,14,0,0
42003130300,124,0,39,0,0,0,466,21,21,58,11,0
42003130400,302,27,98,0,0,0,535,101,0,25,0,0
