ID,PopTotal,PopUnder5,Pop5To9,Pop10To14,Pop15To19
4013010101,5062,150,105,100,165
4013010102,5127,9,76,57,141
4013030401,5245,0,76,114,241
4013030402,4541,100,98,188,164
4013040502,5304,351,95,115,236
4013040506,5559,0,0,0,0
4013040507,6731,0,0,0,0
4013040512,1776,0,0,0,0
4013040513,2978,0,9,0,0
4013040514,3156,9,0,0,0
4013040515,4654,79,182,189,166
4013040516,5407,43,224,262,204
4013040517,8553,390,343,663,465
4013040518,7639,463,490,453,308
4013040519,7078,493,294,235,144
4013040520,6181,376,528,575,611
4013040521,8898,999,919,1171,481
4013040522,4134,0,0,0,0
4013040523,3077,0,10,0,0
4013040524,1433,0,0,0,0
4013040525,3263,0,0,0,29
4013040526,2082,0,0,0,0
4013040527,4094,142,113,261,228
4013040528,5728,0,0,0,0
4013040529,3116,0,0,0,0
4013040530,3788,243,273,125,285
4013040531,3602,86,66,95,46
4013050603,5926,282,396,312,468
4013050604,3701,208,339,255,300
4013050605,9418,782,1061,887,685
4013050606,10341,402,809,1219,743
4013050607,8272,552,756,868,747
4013050608,7935,855,905,814,469
4013050609,5140,395,274,263,439
4013050610,12543,908,1364,1141,1202
4013050611,6081,462,727,633,475
4013050701,6526,654,723,471,493
4013050702,4979,259,293,365,492
4013060801,5737,305,346,394,312
4013060802,2937,243,223,293,255
4013060901,5497,485,546,623,439
4013060902,3273,330,302,308,186
4013060903,5912,579,442,846,489
4013060904,3820,335,351,328,329
4013061009,11277,831,620,797,692
4013061010,5800,293,322,471,254
4013061011,7931,817,585,578,873
4013061012,7935,563,399,621,860
4013061013,6719,633,527,506,483
4013061014,6849,648,487,378,330
4013061015,5573,572,274,385,420
4013061016,7929,546,552,977,675
4013061017,3657,0,0,0,10
4013061018,4298,0,0,0,0
4013061019,5366,527,381,473,428
4013061020,3622,201,223,397,397
4013061021,2100,116,229,310,193
4013061022,10228,667,804,991,522
4013061023,11567,753,664,1256,1026
4013061024,1895,112,143,134,202
4013061025,11393,835,874,1540,1169
4013061026,5875,420,525,590,579
4013061027,5552,356,373,534,192
4013061028,3064,204,245,260,183
4013061029,4809,255,184,248,266
4013061030,8451,669,760,949,720
4013061031,5098,252,492,411,458
4013061032,6521,436,369,705,599
4013061033,6917,451,443,610,484
4013061034,8147,617,709,613,869
4013061035,7154,463,327,793,444
4013061036,4306,285,410,481,380
4013061037,5671,396,531,605,308
4013061038,4524,333,324,417,409
4013061039,4423,198,238,603,425
4013061040,4294,249,223,274,285
4013061041,4543,310,419,451,207
4013061042,2274,129,111,133,76
4013061043,2783,187,238,297,324
4013061044,9169,626,1068,1033,511
4013061045,6892,246,458,680,405
4013061046,6397,401,550,524,406
4013061047,3871,134,395,328,344
4013061100,2401,231,223,122,412
4013061200,5924,689,614,236,448
4013061300,1891,79,75,162,130
4013061401,2257,172,254,260,145
4013061402,6184,649,688,496,533
4013071503,4646,0,0,17,0
4013071504,3408,12,0,0,21
4013071505,6820,0,117,180,46
4013071506,3983,0,0,0,0
4013071509,5490,233,293,222,446
4013071510,4038,178,274,226,320
4013071511,3468,101,211,212,193
4013071512,6404,191,292,524,584
4013071513,1662,113,76,129,89
4013071514,3843,261,302,248,206
4013071515,3535,186,151,130,161
4013071516,3246,140,0,92,97
4013071517,3836,338,270,245,222
4013071600,3943,225,132,314,265
4013071701,3041,182,318,356,126
4013071702,3091,31,15,0,12
4013071801,5205,44,0,50,57
4013071802,3427,0,0,0,0
4013071903,5632,275,421,284,208
4013071906,5497,464,306,528,359
4013071909,4030,303,213,222,167
4013071910,6616,664,330,396,360
4013071911,3276,269,241,380,166
4013071912,3183,119,235,284,246
4013071913,5350,384,550,364,428
4013071914,3080,159,215,333,249
4013071915,3552,295,337,215,191
4013082002,7225,723,788,507,371
4013082007,4589,359,239,359,521
4013082008,5793,649,466,542,411
4013082009,5894,552,686,639,458
4013082010,4996,308,330,598,441
4013082012,7742,516,816,675,765
4013082016,2843,107,234,361,162
4013082017,4721,544,517,532,291
4013082018,5881,575,434,459,541
4013082019,2856,48,102,187,257
4013082020,3860,117,20,357,503
4013082021,2457,234,134,171,190
4013082022,4824,389,448,435,385
4013082023,5347,343,446,481,400
4013082024,4533,535,183,484,271
4013082025,2799,241,216,178,119
4013082026,6119,368,397,432,467
4013082027,4705,315,436,350,380
4013082028,4671,164,148,400,553
4013082203,11710,868,1081,1010,790
4013082204,6953,605,624,857,732
4013082205,7008,823,714,749,489
4013082206,5036,517,364,420,482
4013082207,3687,225,355,412,372
4013082208,3070,178,342,351,253
4013082209,3058,191,166,352,292
4013082210,5138,441,465,428,588
4013082211,6171,519,757,546,443
4013083000,7246,580,711,570,383
4013092305,4425,205,345,397,351
4013092306,6429,336,519,287,336
4013092307,6183,358,331,600,352
4013092308,7129,706,545,374,318
4013092309,6188,347,344,439,312
4013092311,3637,224,131,229,341
4013092312,5161,468,301,103,328
4013092401,4933,289,470,319,345
4013092402,3453,370,274,47,139
4013092500,4771,171,382,403,358
4013092600,3171,228,376,334,235
4013092705,4612,294,307,476,352
4013092708,2197,243,169,134,143
4013092709,4283,274,222,367,288
4013092710,5005,196,155,217,588
4013092711,3513,241,240,323,252
4013092712,6101,596,409,371,700
4013092713,5351,395,480,487,497
4013092715,4504,304,414,375,456
4013092716,4311,429,204,279,481
4013092717,5547,636,468,364,409
4013092718,3945,274,355,501,342
4013092719,4886,368,283,337,328
4013092720,6144,519,374,506,544
4013092721,3689,223,339,278,358
4013092723,3837,310,352,156,178
4013092724,3976,186,222,264,260
4013092801,5350,417,652,434,625
4013092802,6747,798,700,550,725
4013092900,3303,189,282,333,276
4013093001,5696,602,552,327,401
4013093002,4905,390,433,537,759
4013093101,5040,653,389,362,304
4013093104,5107,637,625,666,348
4013093105,5467,683,430,399,390
4013093106,5293,627,503,479,470
4013093200,4053,282,431,522,275
4013103205,2943,256,180,203,179
4013103206,2624,105,116,252,235
4013103207,2625,155,116,153,153
4013103208,3709,72,181,94,110
4013103209,5276,102,458,468,150
4013103210,7348,343,246,286,468
4013103211,4323,139,184,189,272
4013103212,4244,228,190,230,302
4013103214,4401,187,201,353,324
4013103215,3224,78,253,182,269
4013103216,4954,369,291,163,278
4013103217,6068,253,401,477,347
4013103219,3263,88,115,129,114
4013103220,3095,219,128,104,140
4013103302,7237,324,421,321,588
4013103303,3739,266,106,183,168
4013103304,5304,406,269,782,415
4013103305,3234,153,184,290,291
4013103306,4466,481,455,340,215
4013103400,4728,279,242,222,352
4013103501,3040,145,153,239,112
4013103502,6195,445,275,271,231
4013103604,4843,341,398,350,288
4013103605,6154,392,251,339,155
4013103606,4778,339,160,289,195
4013103607,4566,192,165,253,189
4013103608,4413,505,365,449,89
4013103609,5647,449,506,131,298
4013103611,5244,206,210,139,245
4013103612,5573,323,406,108,143
4013103614,2909,213,160,186,117
4013103615,5990,756,456,409,432
4013103701,4635,23,191,213,213
4013103702,3423,57,192,93,124
4013103900,6272,358,355,316,468
4013104000,7256,780,487,260,467
4013104100,7241,442,531,498,529
4013104202,5346,210,139,456,356
4013104203,7325,718,167,467,440
4013104204,3883,182,324,289,389
4013104205,5948,285,320,427,329
4013104206,4376,304,397,324,269
4013104207,4257,161,184,124,273
4013104212,6230,345,313,352,598
4013104214,2424,160,171,118,165
4013104215,4000,185,203,206,219
4013104216,5545,406,234,390,373
4013104217,5645,272,187,205,611
4013104218,4081,145,326,326,248
4013104219,3284,138,272,149,449
4013104221,5974,317,375,601,342
4013104222,6079,378,419,299,388
4013104223,2120,97,44,61,96
4013104224,6002,326,366,410,273
4013104225,4012,230,208,243,270
4013104226,4450,231,318,184,241
4013104227,2197,135,281,142,48
4013104301,4015,245,300,278,271
4013104302,3862,306,336,129,125
4013104401,4591,238,180,149,216
4013104402,2703,463,335,38,14
4013104501,4321,319,319,401,360
4013104502,5884,611,435,574,409
4013104600,4026,321,106,272,235
